30.11.2021                                       Edition de liste dynamique                                               1
---------------------------------------------------------------------------------------------------------------------------
ElémentOTP/Art.     BBG-213728-0209-02-001 / PCR0380P
Div./Util./Alt.     1000 / 2 / 01
Désignation         MASTERFOLD
Qté de base   (PC ) 1,000
Qté utilis. (PC )   1

---------------------------------------------------------------------------------------------------------------------------
|Niv|Noeud|N° composante                 |Déb.valid.|Fin valid.|Désignation objet                       |Gp.mar.ext|CatNcl|
| 5 |   23|BSA2306681003                 |01.06.2008|31.12.9999|ETIQUETTE DANGER ELECT    50MM          |SCC       |M     |
| 5 |   24|BSA580004014                  |01.06.2008|31.12.9999|CA BLI PUISS UL600 PE  AWG14X4          |RMA       |M     |
| 5 |   25|BSA580004014                  |01.06.2008|31.12.9999|CA BLI PUISS UL600 PE  AWG14X4          |RMA       |M     |
| 5 |   26|BSA559050024                  |01.06.2008|31.12.9999|CA CDE 600V HAR 0.50  23X +PE           |RMA       |M     |
| 5 |   27|BSA2316170903                 |01.06.2008|31.12.9999|PRISE 24X DR RECT                       |SCC       |M     |
| 5 |   28|BSA2316170601                 |01.06.2008|31.12.9999|CONTACT FEMELLE AWG22-20                |SCC       |M     |
| 5 |   29|BSA2490159010                 |01.06.2008|31.12.9999|CABLE RJ-45 CAT6 L=5M                   |SCC       |M     |
| 5 |   30|BSA555605022                  |13.08.2017|31.12.9999|CA BLI CDE UL600      AWG22X 5          |RMA       |M     |
| 5 |   31|BSA0765952900                 |01.06.2008|31.12.9999|SUPPORT PR 7 CABLES CEM/P-C KEL 2410    |CMP       |M     |
| 6 |    1|BSA214510200                  |01.06.2008|31.12.9999|TOLE DECAPEE 3000X1500X2                |RMA       |M     |
| 5 |   32|BSA2303081000                 |01.06.2008|31.12.9999|PASSE-CABLE 10P 147X58                  |SCC       |M     |
| 5 |   33|BSA2303081001                 |01.06.2008|31.12.9999|SUPPORT PASSE-CABLE KEL24               |SCC       |M     |
| 5 |   34|BSA1007117700                 |01.06.2008|31.12.9999|RDL A PICOTS 55.05.03.44___5,1          |SCC       |M     |
| 5 |   35|BSA816005012                  |01.06.2008|31.12.9999|V TR 6P         M 5     X 12            |SCC       |M     |
| 5 |   36|BSA816005016                  |01.06.2008|31.12.9999|VIS TR 6P M5X16                         |SCC       |M     |
| 5 |   37|BSA831700005                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M5X4            |SCC       |M     |
| 5 |   38|BSA834205012                  |01.06.2008|31.12.9999|RDL EL SN 212745 ZG 5,3/12              |SCC       |M     |
| 5 |   39|BSA2303081150                 |01.06.2008|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   40|BSA2303081150                 |01.06.2008|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   41|BSA2302000201                 |01.06.2008|31.12.9999|BRIDE CEM WAGO    7 - 16                |SCC       |M     |
| 5 |   42|BSA2302000201                 |01.06.2008|31.12.9999|BRIDE CEM WAGO    7 - 16                |SCC       |M     |
| 5 |   43|BSA2302000200                 |01.06.2008|31.12.9999|BRIDE CEM WAGO    0 - 8                 |SCC       |M     |
| 5 |   44|BSA2303081150                 |01.06.2008|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   45|BSA2303081110                 |01.06.2008|31.12.9999|JOINT PASSE CABLE 20   10-11MM          |SCC       |M     |
| 5 |   46|BSA2303081108                 |01.06.2008|31.12.9999|JOINT PASSE CABLE 20    8- 9MM          |SCC       |M     |
| 5 |   47|BSA2303081110                 |01.06.2008|31.12.9999|JOINT PASSE CABLE 20   10-11MM          |SCC       |M     |
| 5 |   48|BSA2303081150                 |05.04.2021|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   49|BSA2303081106                 |01.06.2008|31.12.9999|JOINT PASSE CABLE 20    6- 7MM          |SCC       |M     |
| 5 |   50|BSA2303081150                 |01.06.2008|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   51|BSA2303081150                 |01.06.2008|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   52|BSA0765952900                 |01.06.2008|31.12.9999|SUPPORT PR 7 CABLES CEM/P-C KEL 2410    |CMP       |M     |
| 6 |    1|BSA214510200                  |01.06.2008|31.12.9999|TOLE DECAPEE 3000X1500X2                |RMA       |M     |
| 5 |   53|BSA2303081000                 |01.06.2008|31.12.9999|PASSE-CABLE 10P 147X58                  |SCC       |M     |
| 5 |   54|BSA2303081001                 |01.06.2008|31.12.9999|SUPPORT PASSE-CABLE KEL24               |SCC       |M     |
| 5 |   55|BSA1007117700                 |01.06.2008|31.12.9999|RDL A PICOTS 55.05.03.44___5,1          |SCC       |M     |
| 5 |   56|BSA816005012                  |01.06.2008|31.12.9999|V TR 6P         M 5     X 12            |SCC       |M     |
| 5 |   57|BSA816005016                  |01.06.2008|31.12.9999|VIS TR 6P M5X16                         |SCC       |M     |
| 5 |   58|BSA831700005                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M5X4            |SCC       |M     |
| 5 |   59|BSA834205012                  |01.06.2008|31.12.9999|RDL EL SN 212745 ZG 5,3/12              |SCC       |M     |
| 5 |   60|BSA2303081150                 |01.06.2008|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   61|BSA2302000200                 |01.06.2008|31.12.9999|BRIDE CEM WAGO    0 - 8                 |SCC       |M     |
| 5 |   63|BSA2303081106                 |01.06.2008|31.12.9999|JOINT PASSE CABLE 20    6- 7MM          |SCC       |M     |
| 5 |   64|BSA2303081150                 |01.06.2008|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   65|BSA2303081150                 |01.06.2008|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   66|BSA2303081150                 |01.06.2008|31.12.9999|BOUCHON 20X20MM PASSE CABLE             |SCC       |M     |
| 5 |   67|BSA2303081105                 |01.06.2008|31.12.9999|JOINT PASSE CABLE 20    5- 6MM          |SCC       |M     |
| 5 |   68|BSA2303081116                 |01.06.2008|31.12.9999|JOINT PASSE CABLE 40   16-17MM          |SCC       |M     |
| 5 |   69|BSA2305555500                 |01.06.2008|31.12.9999|BORNE TOPJOB S 4CT AWG 22-12 GRIS       |SCC       |M     |
| 5 |   70|BSA2305555503                 |01.06.2008|31.12.9999|EXTREMITE TOPJOB S 4CT AWG 22-12        |SCC       |M     |
| 5 |   71|BSA2305555510                 |01.06.2008|31.12.9999|PEIGNE PONT TOPJOB S 3CT AWG 22-12      |SCC       |M     |
| 5 |   72|BSA2305555500                 |01.06.2008|31.12.9999|BORNE TOPJOB S 4CT AWG 22-12 GRIS       |SCC       |M     |
| 5 |   73|BSA2305555503                 |01.06.2008|31.12.9999|EXTREMITE TOPJOB S 4CT AWG 22-12        |SCC       |M     |
| 5 |   74|BSA2305555500                 |01.06.2008|31.12.9999|BORNE TOPJOB S 4CT AWG 22-12 GRIS       |SCC       |M     |
| 5 |   75|BSA2305555503                 |01.06.2008|31.12.9999|EXTREMITE TOPJOB S 4CT AWG 22-12        |SCC       |M     |
| 5 |   76|BSA2305555509                 |01.06.2008|31.12.9999|PEIGNE PONT TOPJOB S 2CT AWG 22-12      |SCC       |M     |
| 5 |   77|BSA2305555500                 |01.06.2008|31.12.9999|BORNE TOPJOB S 4CT AWG 22-12 GRIS       |SCC       |M     |
| 5 |   78|BSA2305555503                 |01.06.2008|31.12.9999|EXTREMITE TOPJOB S 4CT AWG 22-12        |SCC       |M     |
| 5 |   79|BSA2305555510                 |01.06.2008|31.12.9999|PEIGNE PONT TOPJOB S 3CT AWG 22-12      |SCC       |M     |
| 5 |   80|BSA2305550002                 |01.06.2008|31.12.9999|ARRET BORNE WAGO  6MM                   |SCC       |M     |
| 5 |   81|BSA2305550233                 |01.06.2008|31.12.9999|BORNE WAGO 1ET AWG12 GRI 2C+2B          |SCC       |M     |
| 5 |   82|BSA2305550234                 |01.06.2008|31.12.9999|SEPARATION WAGO AWG12 OG 2C+2B          |SCC       |M     |
| 5 |   83|BSA2305550236                 |01.06.2008|31.12.9999|BORNE 1ET AWG12 V-J 2C+2B               |SCC       |M     |
| 5 |   84|BSA2466652006                 |01.06.2008|31.12.9999|CONNECTEUR X-COM SYST 2S+T 90           |SCC       |M     |
| 5 |   85|BSA2466652006                 |01.06.2008|31.12.9999|CONNECTEUR X-COM SYST 2S+T 90           |SCC       |M     |
| 5 |   86|BSA2305555500                 |01.06.2008|31.12.9999|BORNE TOPJOB S 4CT AWG 22-12 GRIS       |SCC       |M     |
| 5 |   87|BSA2305555503                 |01.06.2008|31.12.9999|EXTREMITE TOPJOB S 4CT AWG 22-12        |SCC       |M     |
| 5 |   88|BSA2305550002                 |01.06.2008|31.12.9999|ARRET BORNE WAGO  6MM                   |SCC       |M     |
| 5 |   89|BSA2305555502                 |27.08.2018|31.12.9999|BORNE TOPJOB S 4CT AWG 22-12 JAUNE-VERT |SCC       |M     |
| 5 |   90|BSA2305555503                 |01.06.2008|31.12.9999|EXTREMITE TOPJOB S 4CT AWG 22-12        |SCC       |M     |
| 5 |   91|BSA831700006                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M6X5            |SCC       |M     |
| 5 |   92|BSA1007123400                 |01.06.2008|31.12.9999|RDL A PICOTS 55.06.03.44___6,1          |SCC       |M     |
| 5 |   93|BSA834206014                  |01.06.2008|31.12.9999|RDL EL SN 212745 ZG 6,4/14              |SCC       |M     |
| 5 |   94|BSA2306681008                 |01.06.2008|31.12.9999|ETIQUETTE TERRE PROTECT (PE) 11X13 JN/VE|SCC       |M     |
| 5 |   95|BSA2306200400                 |01.06.2008|31.12.9999|COSSE RONDE BL DIA 6,4 C8               |SCC       |M     |
| 5 |   99|BSA2466652003                 |13.08.2017|31.12.9999|CONNECTEUR X-COM SYST 3S+T DR           |SCC       |M     |
| 5 |  100|BSA2316170801                 |13.08.2017|31.12.9999|FICHE 6X DR RECT                        |SCC       |M     |
| 5 |  101|BSA2316170501                 |13.08.2017|31.12.9999|CONTACT MALE AWG22-20                   |SCC       |M     |
| 5 |  103|BSA2303093016                 |13.08.2017|31.12.9999|BOUCHON PL COURT M 16 x 1.5             |SCC       |M     |
| 5 |  104|BSA2303093416                 |13.08.2017|31.12.9999|ECROU LAITON CEM M16X1,5                |SCC       |M     |
| 5 |  105|BSA2303093016                 |13.08.2017|31.12.9999|BOUCHON PL COURT M 16 x 1.5             |SCC       |M     |
| 5 |  106|BSA2303093416                 |13.08.2017|31.12.9999|ECROU LAITON CEM M16X1,5                |SCC       |M     |
| 4 |   18|BSA00340000ZL                 |15.03.2021|31.12.9999|EL10 CONDUITE POMPE ACCUFEED            |GOC       |P     |
| 5 |    1|BSA2306200200                 |01.06.2008|31.12.9999|COSSE RONDE BL DIA 4,5 C6               |SCC       |M     |
| 5 |    2|BSA554104014                  |01.06.2008|31.12.9999|CABLE PUISSANCE UL600 3X+PE AWG14       |RMA       |M     |
| 5 |    3|BSA2303094320                 |01.06.2008|31.12.9999|PRESSE-ETOUPE CEM M20X1,5 LONG          |SCC       |M     |
| 5 |    4|BSA2303096325                 |01.06.2008|31.12.9999|REDUCTION LT M25X1.5 - M20X1.5          |SCC       |M     |
| 5 |    5|BSA2314077100                 |01.06.2008|31.12.9999|CO WINSTA 4P AVEC CAPOT                 |SCC       |M     |
| 5 |    6|BSA2314077129                 |01.06.2008|31.12.9999|CO WINSTA CLIQUET VERROUILLAGE          |SCC       |M     |
| 4 |   19|BSA00340000ZM                 |15.03.2021|31.12.9999|EL10 CONDUITE MOTEUR MARGEUR            |GOC       |P     |
| 5 |    1|BSA2448044546                 |01.06.2008|31.12.9999|CABLE CONF X-TEC-23 P-FILS 8X BLI L=5M  |SCC       |M     |
| 5 |    5|BSA2306200400                 |25.02.2019|31.12.9999|COSSE RONDE BL DIA 6,4 C8               |SCC       |M     |
| 5 |    6|BSA2401021000                 |01.06.2008|31.12.9999|COSSE RONDE RG DIA 4,3 C2               |SCC       |M     |
| 5 |   14|BSA2306200200                 |25.02.2019|31.12.9999|COSSE RONDE BL DIA 4,5 C6               |SCC       |M     |
| 5 |    2|BSA2371056726                 |01.06.2008|31.12.9999|CABLE CODEUR M23 - SUB-D26P 5M          |SCC       |M     |
| 5 |    3|BSA2303093425                 |01.06.2008|31.12.9999|ECROU LAITON CEM M25X1,5                |SCC       |M     |
| 5 |    4|BSA2303094325                 |01.06.2008|31.12.9999|PRESSE-ETOUPE CEM M25X1,5 LONG          |SCC       |M     |
| 5 |    7|BSA2314077100                 |25.02.2019|31.12.9999|CO WINSTA 4P AVEC CAPOT                 |SCC       |M     |
| 5 |    8|BSA2314077129                 |25.02.2019|31.12.9999|CO WINSTA CLIQUET VERROUILLAGE          |SCC       |M     |
| 5 |    9|BSA554104014                  |25.02.2019|31.12.9999|CABLE PUISSANCE UL600 3X+PE AWG14       |RMA       |M     |
| 5 |   10|BSA2303094320                 |25.02.2019|31.12.9999|PRESSE-ETOUPE CEM M20X1,5 LONG          |SCC       |M     |
| 4 |   20|BSA00340000ZN                 |15.03.2021|31.12.9999|EL15 CONDUITE MOTEUR ALIGNEMENT         |GOC       |P     |
| 5 |    1|BSA2448044546                 |01.06.2008|31.12.9999|CABLE CONF X-TEC-23 P-FILS 8X BLI L=5M  |SCC       |M     |
| 5 |    5|BSA2306200400                 |25.02.2019|31.12.9999|COSSE RONDE BL DIA 6,4 C8               |SCC       |M     |
| 5 |    6|BSA2401021000                 |01.06.2008|31.12.9999|COSSE RONDE RG DIA 4,3 C2               |SCC       |M     |
| 5 |   14|BSA2306200200                 |25.02.2019|31.12.9999|COSSE RONDE BL DIA 4,5 C6               |SCC       |M     |
| 5 |    2|BSA2371056726                 |01.06.2008|31.12.9999|CABLE CODEUR M23 - SUB-D26P 5M          |SCC       |M     |
| 5 |    3|BSA2303093425                 |01.06.2008|31.12.9999|ECROU LAITON CEM M25X1,5                |SCC       |M     |
| 5 |    4|BSA2303094325                 |01.06.2008|31.12.9999|PRESSE-ETOUPE CEM M25X1,5 LONG          |SCC       |M     |
| 5 |    7|BSA2314077100                 |25.02.2019|31.12.9999|CO WINSTA 4P AVEC CAPOT                 |SCC       |M     |
| 5 |    8|BSA2314077129                 |25.02.2019|31.12.9999|CO WINSTA CLIQUET VERROUILLAGE          |SCC       |M     |
| 5 |    9|BSA554104014                  |25.02.2019|31.12.9999|CABLE PUISSANCE UL600 3X+PE AWG14       |RMA       |M     |
| 5 |   10|BSA2303094320                 |25.02.2019|31.12.9999|PRESSE-ETOUPE CEM M20X1,5 LONG          |SCC       |M     |
| 4 |   21|BSA00340000ZO                 |15.03.2021|31.12.9999|EL10 ECRAN MARGEUR                      |GOC       |P     |
| 5 |    9|BSA586830016                  |14.12.2020|31.12.9999|FIL SOUPLE UL600  AWG16 VR-JE           |RMA       |M     |
| 5 |    7|BSA2401021000                 |01.06.2008|31.12.9999|COSSE RONDE RG DIA 4,3 C2               |SCC       |M     |
| 5 |    1|BSA2401021000                 |14.12.2020|31.12.9999|COSSE RONDE RG DIA 4,3 C2               |SCC       |M     |
| 4 |   22|BSA00350000 A                 |15.03.2021|31.12.9999|MP00 CABINET SUPPORT (600/800/400)      |GOC       |P     |
| 5 |    1|BSA824408120                  |01.06.2008|31.12.9999|V 6P            M 8     X120            |SCC       |M     |
| 5 |    2|BSA824412100                  |01.06.2008|31.12.9999|V 6P            M12     X100            |SCC       |M     |
| 5 |    3|BSA1102026900                 |01.06.2008|31.12.9999|CHARNIERE INOX 50/2X330                 |SCC       |M     |
| 5 |    4|BSA0322682700                 |01.06.2008|31.12.9999|ARMOIRE CAPOT                           |CMP       |M     |
| 5 |    5|BSA832805010                  |01.06.2008|31.12.9999|RDL AC     5,3 / 10   X 1               |SCC       |M     |
| 5 |    6|BSA831700005                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M5X4            |SCC       |M     |
| 5 |    7|BSA816006020                  |01.06.2008|31.12.9999|V TR 6P         M 6     X 20            |SCC       |M     |
| 5 |    8|BSA631102230                  |01.06.2008|31.12.9999|PROFIL SZ 2573 1022-30                  |RMA       |M     |
| 5 |    9|BSA631102230                  |01.06.2008|31.12.9999|PROFIL SZ 2573 1022-30                  |RMA       |M     |
| 5 |   10|BSA0322699900                 |01.06.2008|31.12.9999|GUILLOTINE                              |CMP       |M     |
| 5 |   11|BSA2301005425                 |01.06.2008|31.12.9999|TRESSE DE MASSE 16 MM2 L 150            |SCC       |M     |
| 5 |   12|BSA816008012                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 12            |SCC       |M     |
| 5 |   13|BSA831700008                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M8X6.5          |SCC       |M     |
| 5 |   14|BSA816008030                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 30            |SCC       |M     |
| 5 |   15|BSA816008016                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 16            |SCC       |M     |
| 5 |   16|BSA0322693000                 |01.06.2008|31.12.9999|RENFORT                                 |CMP       |M     |
| 5 |   17|BSA0322698900                 |01.06.2008|31.12.9999|SUPPORT ARMOIRE                         |CMP       |M     |
| 5 |   18|BSA1002108016                 |01.06.2008|31.12.9999|VIS TETE MOLETEE M8 X 20                |SCC       |M     |
| 5 |   21|BSA1007123900                 |23.07.2018|31.12.9999|RDL A PICOTS 55.08.25.44___8,2          |SCC       |M     |
| 4 |   23|BSA00350000 B                 |15.03.2021|31.12.9999|MP10 LOWER GUIDES                       |GOC       |P     |
| 5 |    1|BSA0322520800                 |01.06.2008|31.12.9999|GUIDE INFERIEUR                         |CMP       |M     |
| 5 |    2|BSA1007208404                 |01.06.2008|31.12.9999|RONDELLE AC 8,4/21X4                    |SCC       |M     |
| 5 |    3|BSA816008035                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 35            |SCC       |M     |
| 5 |    4|BSA831700008                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M8X6.5          |SCC       |M     |
| 5 |    5|BSA0322119700                 |01.06.2008|31.12.9999|GUIDE SUP.                              |CMP       |M     |
| 5 |    6|BSA816008012                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 12            |SCC       |M     |
| 5 |    7|BSA06500000XJ                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 6 |    1|BSA0650182600                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 6 |    2|BSA0650202000                 |01.06.2008|31.12.9999|VE DE BLOCAGE                           |CMP       |M     |
| 6 |    3|BSA0650237500                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 6 |    4|BSA1002108076                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 20                     |SCC       |M     |
| 6 |    5|BSA1002108079                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 30                     |SCC       |M     |
| 6 |    6|BSA1007041000                 |01.06.2008|31.12.9999|RDL ROTULE FORM C M8 DIN 6319           |SCC       |M     |
| 6 |    7|BSA1007041600                 |01.06.2008|31.12.9999|RDL ROTULE FORM D M8 DIN 6319           |SCC       |M     |
| 6 |    8|BSA1017100607                 |01.06.2008|31.12.9999|RESSORT COMPR. D=0.6 DM=11 L0=26        |SCC       |M     |
| 6 |   10|BSA0322496200                 |26.11.2009|31.12.9999|PLAQUETTE                               |CMP       |M     |
| 5 |    8|BSA0652332800                 |01.06.2008|31.12.9999|SUPPORT                                 |CMP       |M     |
| 5 |    9|BSA0322194000                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 5 |   10|BSA1014310026                 |01.06.2008|31.12.9999|V 6P A PORTEE   10 J6   X 30            |SCC       |M     |
| 5 |   11|BSA832810021                  |01.06.2008|31.12.9999|RDL AC    10,5 / 20   X 2               |SCC       |M     |
| 5 |   12|BSA1017102812                 |01.06.2008|31.12.9999|RESSORT COMPR. D=2.8 DM=16.5 L0=27.4    |SCC       |M     |
| 5 |   13|BSA870103016                  |01.06.2008|31.12.9999|GOUP EL LOURDE  3   X  16               |SCC       |M     |
| 5 |   14|BSA0322194100                 |01.06.2008|31.12.9999|GUIDE INF                               |CMP       |M     |
| 5 |   15|BSA0322193900                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 5 |   16|BSA872208020                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 20      |SCC       |M     |
| 5 |   17|BSA832808017                  |01.06.2008|31.12.9999|RDL AC     8,4 / 16   X 1,6             |SCC       |M     |
| 5 |   18|BSA1008409016                 |01.06.2008|31.12.9999|ENTRETOISE   9   / 14  X 24             |SCD       |M     |
| 5 |   19|BSA0322209600                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 5 |   20|BSA870102016                  |01.06.2008|31.12.9999|GOUP EL LOURDE  2   X  16               |SCC       |M     |
| 5 |   21|BSA1017100607                 |01.06.2008|31.12.9999|RESSORT COMPR. D=0.6 DM=11 L0=26        |SCC       |M     |
| 5 |   22|BSA1007041600                 |01.06.2008|31.12.9999|RDL ROTULE FORM D M8 DIN 6319           |SCC       |M     |
| 5 |   23|BSA1007041000                 |01.06.2008|31.12.9999|RDL ROTULE FORM C M8 DIN 6319           |SCC       |M     |
| 5 |   24|BSA1002108079                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 30                     |SCC       |M     |
| 5 |   25|BSA0650182600                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 4 |   24|BSA06180000AE                 |15.03.2021|31.12.9999|EL00 SIGNALISATION LEDS MODULE LG 600MM |GOC       |P     |
| 5 |    1|BSA0031144200                 |01.06.2008|31.12.9999|REFLECTEUR LED                          |CMP       |M     |
| 5 |    2|BSA831700006                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M6X5            |SCC       |M     |
| 5 |    3|BSA1007020700                 |01.06.2008|31.12.9999|RONDELLE AC 6.4/18X1.6                  |SCC       |M     |
| 5 |    4|BSA0031150100                 |01.06.2008|31.12.9999|REFLECTEUR LED                          |CMP       |M     |
| 5 |    5|BSA872206010                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 6     X 10      |SCC       |M     |
| 5 |    6|BSA2316170801                 |01.06.2008|31.12.9999|FICHE 6X DR RECT                        |SCC       |M     |
| 5 |    7|BSA2316170501                 |01.06.2008|31.12.9999|CONTACT MALE AWG22-20                   |SCC       |M     |
| 5 |    8|BSA505100002                  |01.06.2008|31.12.9999|RUBAN DE LED BLEUE 24V                  |RMA       |M     |
| 5 |    9|BSA2466413000                 |01.06.2008|31.12.9999|CONNECTEUR POUR RUBAN DE LED 24V        |SCC       |M     |
| 5 |   10|BSA505100001                  |01.06.2008|31.12.9999|RUBAN DE LED VERTE 24V                  |RMA       |M     |
| 5 |   11|BSA2466413000                 |01.06.2008|31.12.9999|CONNECTEUR POUR RUBAN DE LED 24V        |SCC       |M     |
| 5 |   12|BSA505100000                  |01.06.2008|31.12.9999|RUBAN DE LED ROUGE 24V                  |RMA       |M     |
| 5 |   13|BSA2466413000                 |01.06.2008|31.12.9999|CONNECTEUR POUR RUBAN DE LED 24V        |SCC       |M     |
| 4 |   25|BSA00340000TO                 |15.03.2021|31.12.9999|EL10/15 POSTE DE COMMANDE ACCUFEED      |GOC       |P     |
| 5 |   37|BSA586820018                  |01.06.2020|31.12.9999|FIL SOUPLE UL600  AWG18 BLE             |RMA       |M     |
| 5 |   40|BSA586840018                  |01.06.2020|31.12.9999|FIL SOUPLE UL600 AWG18 BLANC-BLEU       |RMA       |M     |
| 5 |    1|BSA2317720100                 |01.06.2008|31.12.9999|EMBASE B-P TELEM                        |SCC       |M     |
| 5 |    2|BSA2317720301                 |01.06.2008|31.12.9999|CONTACT B-P TELEM 1O                    |SCC       |M     |
| 5 |    3|BSA2317720501                 |01.06.2008|31.12.9999|TETE B-P CDP TELEM DIA 40 RG            |SCC       |M     |
| 5 |    4|BSA2317720100                 |01.06.2008|31.12.9999|EMBASE B-P TELEM                        |SCC       |M     |
| 5 |    5|BSA2317720300                 |01.06.2008|31.12.9999|CONTACT B-P TELEM 1F                    |SCC       |M     |
| 5 |    6|BSA2317720410                 |01.06.2008|31.12.9999|TETE B-P TELEM DEPASSANT RG             |SCC       |M     |
| 5 |    7|BSA2317720100                 |01.06.2008|31.12.9999|EMBASE B-P TELEM                        |SCC       |M     |
| 5 |    8|BSA2317720300                 |01.06.2008|31.12.9999|CONTACT B-P TELEM 1F                    |SCC       |M     |
| 5 |    9|BSA2317720415                 |01.06.2008|31.12.9999|TETE B-P TELEM ENCASTRE VR              |SCC       |M     |
| 5 |   10|BSA2317720100                 |01.06.2008|31.12.9999|EMBASE B-P TELEM                        |SCC       |M     |
| 5 |   11|BSA2317720300                 |01.06.2008|31.12.9999|CONTACT B-P TELEM 1F                    |SCC       |M     |
| 5 |   12|BSA2317720405                 |01.06.2008|31.12.9999|TETE B-P TELEM AFFLEURANT BLE           |SCC       |M     |
| 5 |   13|BSA2317720203                 |01.06.2008|31.12.9999|EMBASE B-P LUM TELEM OG 24V             |SCC       |M     |
| 5 |   14|BSA2317720300                 |01.06.2008|31.12.9999|CONTACT B-P TELEM 1F                    |SCC       |M     |
| 5 |   15|BSA2317720818                 |01.06.2008|31.12.9999|TETE SEL OG TELEM 3POS TEMP             |SCC       |M     |
| 5 |   16|BSA2317720200                 |01.06.2008|31.12.9999|EMBASE B-P LUM TELEM BC    24V          |SCC       |M     |
| 5 |   17|BSA2317720300                 |01.06.2008|31.12.9999|CONTACT B-P TELEM 1F                    |SCC       |M     |
| 5 |   18|BSA2317721000                 |01.06.2008|31.12.9999|TETE B-P AFFLEURANT BLANC               |SCC       |M     |
| 5 |   19|BSA2317720100                 |01.06.2008|31.12.9999|EMBASE B-P TELEM                        |SCC       |M     |
| 5 |   20|BSA2317720300                 |01.06.2008|31.12.9999|CONTACT B-P TELEM 1F                    |SCC       |M     |
| 5 |   21|BSA2317720603                 |01.06.2008|31.12.9999|TETE SEL MAN TELEM 3POS TEMP            |SCC       |M     |
| 5 |   22|BSA2317720203                 |01.06.2008|31.12.9999|EMBASE B-P LUM TELEM OG 24V             |SCC       |M     |
| 5 |   23|BSA2317720300                 |01.06.2008|31.12.9999|CONTACT B-P TELEM 1F                    |SCC       |M     |
| 5 |   24|BSA2317721003                 |01.06.2008|31.12.9999|TETE B-P AFFLEURANT ORANGE              |SCC       |M     |
| 5 |   25|BSA0394755101                 |05.04.2021|31.12.9999|PLAQUE POSTE CDE ACCUFEED               |CMP       |M     |
| 5 |   27|BSA2316170803                 |01.06.2008|31.12.9999|FICHE 24X DR RECT                       |SCC       |M     |
| 5 |   28|BSA2316170502                 |01.06.2008|31.12.9999|CONTACT MALE AWG18-16                   |SCC       |M     |
| 5 |   29|BSA2317721600                 |01.06.2008|31.12.9999|BOUCHON B-P TELEM *22,2 NR              |SCC       |M     |
| 5 |   30|BSA2317721600                 |17.06.2019|31.12.9999|BOUCHON B-P TELEM *22,2 NR              |SCC       |M     |
| 5 |   31|BSA831700005                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M5X4            |SCC       |M     |
| 5 |   32|BSA834205012                  |01.06.2008|31.12.9999|RDL EL SN 212745 ZG 5,3/12              |SCC       |M     |
| 5 |   33|BSA1007117700                 |01.06.2008|31.12.9999|RDL A PICOTS 55.05.03.44___5,1          |SCC       |M     |
| 5 |   34|BSA878105016                  |01.06.2008|31.12.9999|V DIN  966 M 5X16-4.8 CH MAT            |SCC       |M     |
